name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Felices los 4,Maluma,1,cuarto,,"Te agrandamo' el cuarto | No importa el qué dirán, no' gusta así (Te agrandamos el cuarto, baby) | Te agrandamos el cuarto | Te agrandamo' el cuarto",1RouRzlg8OKFeqc6LvdxmB
Otra Vez feat J Balvin,Zion  Lennox,1,mundo,,"Volverme a poner el mundo al revés | Me vuelves a poner el mundo al revés, como ayer, yeah | Volverme a poner el mundo al revés | Me vuelves a poner el mundo al revés, como ayer (J Balvin, man) | Volverme a poner el mundo al revés | Me vuelves a poner el mundo al revés, como ayer, yeah | (Volverme a poner el mundo al revés, como ayer, yeh)",3QwBODjSEzelZyVjxPOHdq
Bobo,J Balvin,2,"calle, cama",discoteca,Que amores en la calle siempre hay de más (Leggo) | Que amores en la calle siempre hay de más | Que amores en la calle siempre hay de más | Que amores en la calle siempre hay de más | Que amores en la calle siempre hay de más | Deja que el sol hoy te despierte en mi cama | Deja que el sol hoy te despierte en mi cama | Deja que el sol hoy te despierte en mi cama | Deja que el sol hoy te despierte en mi cama,5kdTuoKeqdnblCop75wMuX
Como Antes feat Wisin,Yandel,1,mundo,"casa, esquina","A to' el mundo pega'o, la disco bailoteo (¡Prende!) | A to' el mundo pega'o, la disco bailoteo | A to' el mundo pega'o, la disco bailoteo | A to' el mundo pega'o, la disco bailoteo | A to' el mundo pega'o, la disco bailoteo",5YzA563GXTuwQaRq24z1k5
Kung Fu,Dasoul,2,"club, esquina",escuela,"Puro me hace kung fu en la esquina del club, del club | Puro me hace kung fu en la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | Puro me hace kung fu en la esquina del club, del club | Puro me hace kung fu en la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | Puro me hace kung fu en la esquina del club, del club | Puro me hace kung fu en la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | Puro me hace kung fu en la esquina del club, del club | Puro me hace kung fu en la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club",5bCqP8qJkx52Ntoe9VvxSe
Que Calor with J Balvin  El Alfa,Major Lazer,1,discoteca,"mundo, playa","En la discoteca qué calor (Qué ca) | Qué ca (Qué ca), en la discoteca qué calor (Qué ca) | Qué calor, yesca en la discoteca | En la discoteca qué calor, yesca | En la discoteca qué calor, yesca | Qué calor, yesca en la discoteca",1sviDBcAqVOxMXq4xITVEs
Callaita,Bad Bunny,1,playa,,"Si hay sol, hay playa, si hay playa, hay alcohol | Si hay sol, hay playa, si hay playa, hay alcohol | Días de playa, noche' de terror",2TH65lNHgvLxCKXM3apjxI
Morado,J Balvin,1,cama,"casa, calle, cuarto","En la cama siempre tú te exageras (Exagerá') | En la cama siempre tú te exageras (Uh, uh; yah, yah, yah, yah; uh) | En la cama siempre tú te exageras | En la cama siempre tú te exageras (Eh)",3mQ6SLdxxaL52Yte7KF2Ks
La Romana,Bad Bunny,1,calle,"mundo, cuarto","Y e' que la calle bota | Y e' que la calle bota | La calle tiene fuego, la calle tiene fire | Y e' que la calle bota | La calle está en fuego, cuida'o, no te queme' | Y e' que la calle bota | Y e' que la calle bota",1khmgu0pveJbkbpbkyvcQv
El Mismo Sol,Alvaro Soler,1,mundo,,"Un mundo enano, enano | Yo quiero que este sea el mundo que conteste | Yo quiero que este sea el mundo que conteste | Quiero que el mundo se, mundo se, mundo se | Quiero que el mundo se una mi amor | Quiero que el mundo se, mundo se, mundo se | Quiero que el mundo se una, mi amor | Yo quiero que este sea el mundo que conteste",58WOkUl3O9LvLZjdhiQvIX
Amor Amor de Mis Amores with Devendra Banhart,Natalia Lafourcade,1,cielo,,"Que tú eres mi cielo | Que tú eres mi cielo, eres mis consuelos | Amor de mis amores, tú eres mi cielo | Amor de mis amores, tú eres mi cielo | Amor de mis amores, tú eres mi cielo",3dB42OEuVNiktvt3V5JRVI
El Cuarto de Tula,Buena Vista Social Club,1,barrio,"club, cuarto",En el barrio La Cachimba se ha formado la corredera | En el barrio La Cachimba se ha formado la corredera | En el barrio La Cachimba se ha formado la corredera | En el barrio La Cachimba se ha formado la corredera,7dRfobhDNnsEgB2ZArxA1f
La negra Tomasa,Compay Segundo,1,casa,barrio,Que cuando se va de casa | Que cuando se va de casa | Que cuando se va de casa | Que cuando se va de casa,4zCsjPyHGJz8Vx0luwq4M1
Me Liberé,El Gran Combo De Puerto Rico,1,cielo,,Gracias al cielo me liberé | Gracias al cielo me libere | Gracias al cielo me libere | Gracias al cielo me liberé,1IcnHHfeAkdc88LybFWwb9
No Hay Cama Pa Tanta Gente,El Gran Combo De Puerto Rico,1,calle,"casa, mundo, cama, esquina","Pa' fuera, pa' la calle | Pa' fuera, pa' la calle | Pa' fuera, pa' la calle | Pa' fuera, pa' la calle | Pa' fuera, pa' la calle (Mira, ahí se va este) | Pa' fuera, pa' la calle (Juan Ma, José Estévez, ¡Papo Sánchez!) | Pa' fuera, pa' la calle | Pa' fuera, pa' la calle | ¡Pa' fuera, pa' la calle!",6InAsgddPjAcuF7mSHDT8K
Calle Luna Calle Sol,Willie Colón,1,barrio,calle,"Pónganme oído, en este barrio a muchos guapos lo han mata'o | Póngame oído, en este barrio a muchos guapos lo han mata'o | ¿No conoce este barrio?, aquí asaltan a cualquiera | Pónganme oído, en este barrio a muchos guapos lo han mata'o",1Ics9ai6jbcHHBRaTy1HiD
Marta Sebas Guille y los demás,Amaral,1,calle,hotel,"Son mis amigos, en la calle pasábamos las horas | Son mis amigos, en la calle pasábamos las horas | Son mis amigos, en la calle pasábamos las horas | Son mis amigos, en la calle pasábamos las horas",30ddpolNHwXlrS5XO8MiiO
Pedro Navajas,Rubén Blades,1,esquina,"calle, ciudad, barrio, cielo","Por la esquina del viejo barrio lo vi pasar | Como a tres cuadras de aquella esquina, una mujer | Mientras camina pasa la vista de esquina a esquina | Pedro Navaja, matón de esquina",5lQigojYtsDaFcuK7c2Qid
Olvídame y Pega la Vuelta,Pimpinela,1,casa,mundo,"Por eso vete, olvida mi nombre, mi cara, mi casa, y pega la vuelta (Jamás te pude comprender) | Por eso vete, olvida mi nombre, mi cara, mi casa, y pega la vuelta (Jamás te pude comprender) | Por eso vete, olvida mi nombre, mi cara, mi casa, y pega la vuelta (Jamás te pude comprender) | Por eso vete, olvida mi nombre, mi cara, mi casa, y pega la vuelta (Estás mintiendo, ya lo sé) | Por eso vete, olvida mi nombre, mi cara, mi casa, y pega la vuelta (Jamás te pude comprender)",4FdwRmlzP5KGM7OewGBYiu
Como Camarón,Estopa,1,mundo,"calle, habitación, bar, esquina",Tus ojos no tienen dueño porque no son de este mundo | Tus ojos no tienen dueño porque no son de este mundo | Y a veces me como de un bocao' el mundo | Tus ojos no tienen dueño porque no son de este mundo,1VB4sadHjFcFklHcZuoROi
Tu Calorro,Estopa,1,cama,cielo,Y en una cama más dura que una roca | Y en una cama más dura que una roca | Y en una cama más dura que una roca | Y en una cama más dura que una roca,0DXI6c9tNWsI4tvUftkQN8
Venezia,Hombres G,1,playa,,Nos bañaremos en la playa | Nos bañaremos en la playa | Nos bañaremos en la playa | Nos bañaremos en la playa | Nos bañaremos en la playa | Nos bañaremos en la playa,1wncA7mz0ntqvZ8UzFokGk
Tómbola,Marisol,1,mundo,,"En la tómbola del mundo yo he tenido mucha suerte | Y la tómbola del mundo, me premió con tu querer | En la tómbola del mundo yo he tenido mucha suerte | Y la tómbola del mundo, me premió con tu querer",35lfDNjMbqNU54SVwsesn6
La lista de la compra feat María Jiménez,La Cabra Mecanica,1,mundo,cielo,"Tú, te quedas a mi lado y el mundo me parece | Tú, te quedas a mi lado y el mundo me parece | Yo, me quedo aquí a tu lado y el mundo me parece | Yo, me quedo aquí a tu lado y el mundo me parece | El mundo es tan redondo como el piercing de tu ombligo | Tú, te quedas a mi lado y el mundo me parece | Tú, te quedas a mi lado y el mundo me parece",6htAV9HKCmoDdyyvDNX9DQ
A bailar a bailar,Cantores De Hispalis,2,"mundo, pueblo",,"Todo el mundo a bailar, a bailar, a bailar, ven conmigo a bailar | Todo el mundo a bailar, a bailar, a bailar, ven conmigo a bailar | Todo el mundo a bailar, a bailar, a bailar, ven conmigo a bailar | Todo el mundo a bailar, a bailar, a bailar, ven conmigo a bailar | Que viva la alegría de mi gente y de mi pueblo, vamos a bailar | Que viva la alegría de mi gente y de mi pueblo, vamos a bailar | Que viva la alegría de mi gente y de mi pueblo, vamos a bailar | Que viva la alegría de mi gente y de mi pueblo, vamos a bailar",5SbszeOFbn3KXYxwOUSce5
El Mundo Tras el Cristal,La Guardia,1,habitación,mundo,Háblame de tu oscura habitación | Háblame de tu oscura habitación | Háblame de tu oscura habitación | Háblame de tu oscura habitación,21gEdIRnNJ6fdrAPbMglTx
11 PM,Maluma,1,cuarto,,El cuarto huele a Christian Dior | El cuarto huele a Christian Dior | El cuarto huele a Christian Dior | El cuarto huele a Christian Dior | El cuarto huele a Christian Dior | El cuarto huele a Christian Dior,7KbF6AdprOXEEHlsq11Z6d
