name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Sarandonga,Compay Segundo,1,arroz,,Sarandonga un arroz con bacala'o,2xb7fT6p1348RlQdbs3IzC
Noches de Boda,Joaquín Sabina,1,miel,,Que todas las lunas sean lunas de miel | Que no se ponga la luna de miel,0FfxAxOlgIUaemwaesR0V4
Se fué,Laura Pausini,1,hielo,miel,Se fue y mi amor se cubrió de hielo | Se fue y mi amor se cubrió de hielo (Oh) | Y mi amor se cubrió de hielo (Oh-oh),6LU8uRM2fPgaHKD18I0Azk
Eres Tú  Remasterizado,Mocedades,1,agua,pan,"Eres tú como el agua de mi fuente | (Como el agua de mi fuente) Algo así, como el agua de mi fuente",4CegDqadrdo0nPVheG9X2D
Cocinero cocinero  Tanguillo,Antonio Molina,1,arroz,agua,Y prepara con esmero un arroz con habichuelas | Yo me guiso un arroz con fideos,69b4y7N5M9HZlQNMSPVvF8
Sarandonga,Lolita,1,arroz,,Sarandonga un arroz con bacalao | Sarandonga un arroz con bacala'o,2zNDRGoRkNEkMhO5fcGTMv
Pepas,Farruko,1,agua,,Pepa' y agua pa' la seca,5fwSHlTEWpluwOM0Sxnh5k
Lollipop,Darell,1,leche,manzana,"No quería la leche y yo la boca le enleché | No quería la leche y yo la boca le enleché (-ché, -ché, -ché, -ché) | No quería la leche y yo la boca le enleché (Ey)",3cDyocF0Ibdfs1SFQk5cLZ
La Gozadera feat Marc Anthony,Gente De Zona,1,arroz,,"Y el arroz con habichuelas | Ay, el arroz con habichuelas",0OMRAvrtLWE2TvcXorRiB9
Física o química,Despistaos,1,hielo,,Y un corazón de hielo herido,79eUc9cUUoUOO1b5znphiU
Por el Miedo a Equivocarnos,Maldita Nerea,1,hielo,,De hielo en los ojos,4NiJpGk9DOMJJUOfyUo7ge
Vivir Sin Aire,Maná,1,agua,,Cómo quisiera poder vivir sin agua | ¡Cómo quisiera poder vivir sin agua! | ¿Cómo pudiera un pez nadar sin agua?,5rVuNjlPPCPGHWy8tOke8c
Todo se transforma,Jorge Drexler,1,vino,,"Mientras se pisaba el vino que bebió tu boca roja | Y mientras el vino caía, supe que de algún lejano rincón | El vino que pagué yo con aquel euro italiano | Donde hicieron mi zapato sobre el que caería el vino",4YEU9N2XAE0DfUwxWI5ijA
Segundo movimiento lo de fuera,Extremoduro,1,carne,hielo,"Tú y yo, un total, de carne y hueso",5anSoPoSIy7NzsauFNY0pT
