name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Vielleicht,Rowli,1,nacht,immer,,7FuwizV4bAUFBhyNB5dCxm
Liebe zu dritt,Provinz,1,sommer,"sonntag, bald",,1CeL9v59rZeFX63hYI4eAO
Hals über Kopf,frytz,1,immer,nacht,"Alles easy, aber irgendwie nicht immer einfach",6na2BbMxVT9ZXFX5JHns6Q
Kippen  Schlechter Wein,Ritter Lean,1,immer,nie,"Immer unterwegs mit Jungs, wo immer jemand schaden geht | Dann sagt sie immer: „Ganz okay“ | Jedes Lächeln immer fake und keiner von den'n wirklich echt | Ich will die Zeit zurück, wo mein Arm immer noch ihr Kissen ist",6WrxkzUIrCUfKXo6DxKibh
liebesbeweis,Rrotzer,1,immer,,"Sie macht das immer, fühlt sie sich wieder allein' | Deshalb wacht sie immer als erstes auf | Sie macht das immer, fühlt sie sich wieder allein' | Deshalb wacht sie immer als erstes auf | Sie macht das immer, fühlt sie sich wieder allein' | In der Disco stehen die immer auf GL | Sie macht das immer, fühlt sie sich wieder allein' | Deshalb wacht sie immer als erstes auf | Sie macht das immer, fühlt sie sich wieder allein' | Sie macht das immer, fühlt sie sich wieder allein' | Deshalb wacht sie immer als erstes auf | Sie macht das immer, fühlt sie sich wieder allein'",79kMwRNa5TzMU02A65vDF6
Weinbrand,Amaru,1,heute,"tag, morgen, nacht, morgen","Wer wеiß, wo wir heute Abend landen | Wer weiß, wo wir heute Abend landen | Ich hab' Schutt unter den Füßen und ich schütt' mich heute zu | Morgen werd' ich büßen, dafür geht's mir heute gut | Wer weiß, wo wir heute Abend landen | Wer weiß, wo wir heute Abend landen",50Ap2wslYhEhIdoAp6jwQz
Theater,Ski Aggu,1,heute,"august, nacht, immer, nie","Schrei laut, heute machen wir Theater | Schrei laut, heute machen wir Theater | Schrei laut, heute machen wir Theater | Schrei laut, heute machen wir Theater | Schrei laut, heute machen wir Theater",3mXLCPmEwNPOll1BZedEA9
vielleicht in einem jahr,Kasi,1,heute,"jahr, monat, tag","Vielleicht gar nicht heute, aber vielleicht in ei'm  Jahr | Vielleicht doch nicht heute, aber vielleicht in ei'm Jahr, ah, ah",3ooxYFx0gfdj4eqSmCtoh1
Break my heart,Rrotzer,1,immer,"tag, nacht","Niemals sober, wir sind immer high | Ich will, dass du immer bleibst | Niemals sober, wir sind immer high | Ich will, dass du immer bleibst | Niemals sober, wir sind immer high | Ich will, dass du immer bleibst | Niemals sober, wir sind immer high | Ich will, dass du immer bleibst | Niemals sober, wir sind immer high | Ich will, dass du immer bleibst | Niemals sober, wir sind immer high | Ich will, dass du immer bleibst | Niemals sober, wir sind immer high | Ich will, dass du immer bleibst | Niemals sober, wir sind immer high | Ich will, dass du immer bleibst | Du bist immer so weit weg | Du bist immer so weit weg | Immer faded, immer dizzy | Niemals sober, wir sind immer high | Ich will, dass du immer bleibst | Niemals sober, wir sind immer high | Ich will, dass du immer bleibst | Niemals sober, wir sind immer high | Ich will, dass du immer bleibst | Niemals sober, wir sind immer high | Ich will, dass du immer bleibst",3z0XA6usBDO0hVNoRpIFPg
Cider,01099,1,immer,"tag, nacht, heute","Aber ich mach' immer weiter | Aber ich mach' immer weiter | Und was wir haben, versteht keiner, erklären macht mich immer heiser | Aber ich mach' immer weiter | Gibt es was, was ich nicht weiß? Ich war immer da | Wenn du weißt, aber ich mach immer weiter | Aber ich mach' immer weiter | Aber ich mach' immer weiter",3Dwpw7G06KapVKxZAwPzNR
Powerade,BHZ,1,tag,"nacht, heute, bald",,20l2YWgtEXAAAEzoWs3gkE
Changes,Rowli,2,"heute, immer",,"Und ich wünsch', dir geht es gut, aber heute bin ich weg | Immer viel zu oft am Zug, aber heute bin ich blessed, ja | Ich wünsch', dir geht es gut, aber heute bin ich weg | Immer viel zu oft am Zug, aber heute bin ich blessed, ja | Mach' zwar bis heute nur Kleingeld mit der Mucke und Shit | Bin am machen, doch bis heute noch kein Ende in Sicht | Und ich wünsch', dir geht es gut, aber heute bin ich weg | Immer viel zu oft am Zug, aber heute bin ich blessed, ja | Ich wünsch', dir geht es gut, aber heute bin ich weg | Immer viel zu oft am Zug, aber heute bin ich blessed, ja | Fühl' mich besser in 'nem Stu, früher war ich immer leş | Fühl' mich besser in 'nem Stu, früher war ich immer leş | Fühl' mich besser in 'nem Stu, früher war ich immer leş | Fühl' mich besser in 'nem Stu, früher war ich immer leş",3FaWMH0C3VxY5fDknvr5zB
Ihre Sachen,Strob,1,nie,"morgen, gestern, morgen","Warum lässt sie ihre Sachen da, wenn sie nie wiederkommt? | Warum lässt sie ihre Sachen da, wenn sie nie wiederkommt? | Warum lässt sie ihre Sachen da, wenn sie nie wiederkommt? | Warum lässt sie ihre Sachen da, wenn sie nie wiederkommt?",5ShgVsE6BKrejtIiqP5DOv
Bags,Rowli,1,heute,"gestern, immer","Ich mach' Bags, aber heute nur alleine | Früher war'n sie mad, aber heute sind sie leise | Ich mach' Bags, aber heute nur alleine | Früher war'n sie mad, abеr heute sind sie lеise | Doch ich weiß, heute hören sie's auch | Mache Bags, aber heute nur alleine | Ich mach' Bags, aber heute nur alleine | Früher war'n sie mad, aber heute sind sie leise | Ich mach' Bags, aber heute nur alleine | Früher war'n sie mad, aber heute sind sie leise | Ich mach' Bags, aber heute nur alleine | Früher war'n sie mad, aber heute sind sie leise | Ich mach' Bags, aber heute nur alleine | Früher war'n sie mad, aber heute sind sie leise",6FfKS7iz7t2Vv3p2rqOoe9
EINFACH,Rrotzer,1,immer,,"Ich laufe immer weiter, doch ich dreh' mich im Kreis | Ich laufe immer weiter, doch ich dreh' mich im Kreis | Und ich weiß selber, dass' mit mir nicht immer lеicht war | War mit mir nicht immer einfach | Ich laufe immer weiter, doch ich dreh' mich im Kreis | Ich laufe immer weiter, doch ich dreh' mich im Kreis | Ich laufe immer weiter, doch ich dreh' mich im Kreis | Ich laufe immer weiter, doch ich dreh' mich im Kreis | (Ich laufe immer weiter, doch ich dreh' mich im Kreis)",730aVUGfYZyBM21EeazMPV
FÜHL NICHTS,moi,1,tag,nie,,4KNmhUzBPgrnSAl9rhuSXI
Küssen,01099,1,sommer,"mitternacht, heute",,0XAED1f5jCJ14plqbry8yf
