name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
5min,AyVe,1,fünf,,"Gib mir fünf Minuten und ich sag' dir, was ich fühle | Gib mir fünf Minuten, f-fünf Minuten | Gib mir fünf Minuten, f-f-fünf Minuten | Gib mir fünf Minuten und ich sag' dir, was ich fühle | Gib mir fünf Minuten, f-fünf Minuten | Gib mir fünf Minuten, f-f-fünf Minuten | Gib mir fünf Minuten und ich sag' dir, was ich fühle | Gib mir fünf Minuten, f-fünf Minuten | Gib mir fünf Minuten, f-f-fünf Minuten",4iYhkApfT5dTmYPQ6sT8K2
LiEBE AUF DER RÜCKBANK,FiNCH,1,zwei,,"Da ist nicht viel, was bleibt, am Ende nur wir zwei | Da ist nicht viel, was bleibt, am Ende nur wir zwei | Da ist nicht viel, was bleibt, am Ende nur wir zwei | Da ist nicht viel, was bleibt, am Ende nur wir zwei | Da ist nicht viel, was bleibt, am Ende nur wir zwei",2FiJGvN3fiXMwms9IftNV0
Die Nacht von Freitag auf Montag,SDP,1,drei,,"War ich drei, drei Tage wach | War ich drei, drei Tage wach | War ich drei, drei Tage wach | War ich drei, drei Tage wach",27iLwU19SCH7tDeU64AieP
Frisch,Gustav,1,zwei,eins,"Draußen wird es frisch und ich dreh' mir noch zwei | Draußen wird es frisch und ich dreh' mir noch zwei | Draußen wird es frisch und ich dreh' mir noch zwei | Draußen wird es frisch und ich dreh' mir noch zwei | Hol' noch zwei Bier aus dem Kasten mit den Sternen drauf (Ja, ja)",4jFjWItABR71T2mOpItbcy
Endlos_demo,Mayberg,1,dreizehn,,Wir sind beide dreizehn Jahre alt | Wir sind beide dreizehn Jahre alt | Wir sind beide dreizehn Jahre alt | Wir sind beide dreizehn Jahre alt,4tQA4uDHh6iPaQLWaxeQqH
Tempo,01099,1,drei,"acht, vierzehn","Mit hoh'm Tempo eskaliert es nachts um drei | Rufst du mich an, steh' ich bei drei auf der Matte, ey (a-a-a-) | Mit hoh'm Tempo eskaliert es nachts um drei | Mit hoh'm Tempo eskaliert es nachts um drei",34yIHHjyyPX007lMSpj7J1
TikTok,Cenkgo,1,zwei,,"Halb zwei, lila Sprite | Halb zwei, lila Sprite | Halb zwei, lila Sprite | Halb zwei, lila Sprite",4HneymubY1mJuBCekxM1KO
Haare trocknen,01099,1,dreißig,,"Ey, über dreißig Grad auch noch am Abend | Ey, über dreißig Grad auch noch am Abend | Ey, über dreißig Grad auch noch am Abend | Ey, über dreißig Grad auch noch am Abend | Ey, über dreißig Grad auch noch am Abend",3pumsMT8WGMx4ddvzKmAPf
Zusammen feat Clueso feat Clueso,Die Fantastischen Vier,1,eins,vier,"Wir sind zusammen groß, wir sind zusammen eins | Wir sind zusammen groß, wir sind zusammen eins | Wir sind zusammen groß, wir sind zusammen eins | Wir sind zusammen groß, wir sind zusammen eins",0eV2yonbivxFUtGm8RrGd8
Flash Mich,Mark Forster,1,zwei,"drei, vier, fünf, zehn","Wir sind schon ein, zwei Jahre zusamm'n | Ich seh' uns zwei in alt und grau | Wir hab'n schon ein, zwei Kriege geführt | Ich seh' uns zwei in alt und grau | Ich seh' uns zwei in alt und grau | Ich seh' uns zwei in alt und grau",2aGDxHavIuRArjI3NwfaVY
Wolke 4,Philipp Dittberner,1,vier,sieben,"Lass uns die Wolke vier bitte nie mehr verlassen | Lieber Wolke vier mit dir, als unten wieder ganz allein | Lass uns die Wolke vier bitte nie mehr verlassen | Lieber Wolke vier mit dir, als unten wieder ganz allein | Lass uns die Wolke vier bitte nie mehr verlassen | Lieber Wolke vier mit dir, als unten wieder ganz allein | Lieber Wolke vier mit dir, als unten wieder ganz allein | Lieber Wolke vier mit dir, als unten wieder ganz allein",0MsYSIag5JihnDLn2GkZh3
Kids 2 Finger an den Kopf,Marteria,1,zwei,,"Halt' mir zwei Finger an 'n Kopf und mach': „Peng, peng, peng, peng“ | Halt' mir zwei Finger an 'n Kopf (Yeah) und mach': „Peng, peng, peng, peng“ | Halt' mir zwei Finger an 'n Kopf und mach': „Peng, peng, peng, peng“ | Halt' mir zwei Finger an 'n Kopf und mach': „Peng, peng, peng, peng“ | Halt' mir zwei Finger an den Kopf und mach': „Peng, peng, peng, peng“ | Halt' mir zwei Finger an den Kopf und mach': „Peng, peng, peng, peng“ | Halt' mir zwei Finger an 'n Kopf und mach': „Peng, peng, peng, peng“ | Halt' mir zwei Finger an 'n Kopf und mach': „Peng, peng, peng, peng“",6lxTIMeCLEkj48TlCRG3XX
Auf anderen Wegen,Andreas Bourani,1,eins,,Sie schlagen nicht mehr wie eins | Sie schlagen nicht mehr wie eins | Sie schlagen nicht mehr wie eins | Sie schlagen nicht mehr wie eins | Sie schlagen nicht mehr wie eins | Sie schlagen nicht mehr wie eins,6GyBgO7IGH7nBdhbogEYnT
Der Knutschfleck,IXI,1,eins,,"Nur eins das nicht! | Nur eins, das nicht! | Nur eins, das nicht! | Nur eins, das nicht! | Nur eins, das nicht!",7JUiW90WhEZW8uQvTpaWgX
54 74 90 2010,Sportfreunde Stiller,2,"zwei, drei",,(Eins und zwei und drei und) | (Eins und zwei und drei und) | (Eins und zwei und drei und) | (Eins und zwei und drei und) | (Eins und zwei und drei und) | (Eins und zwei und drei und) | (Eins und zwei und drei und) | (Eins und zwei und drei und) | (Eins und zwei und drei und) | (Eins und zwei und drei und),6ee1motyT1KuUMiz8dMqxj
Staatsfeind Nr 1,Bushido,1,eins,"zwei, sechs, zehn","Nummer eins, okay | Guck mich an, ich bin der Staatsfeind Nummer eins | Nummer eins, okay | Guck mich an, ich bin der Staatsfeind Nummer eins | Nummer eins, okay | Guck mich an, ich bin der Staatsfeind Nummer eins | Nummer eins, okay",1LyZK5iVxo78Urd8xpcqcm
54 74 90 2006,Sportfreunde Stiller,2,"zwei, drei",,(Eins und zwei und drei und) | (Eins und zwei und drei und) | (Eins und zwei und drei und) | (Eins und zwei und drei und) | (Eins und zwei und drei und) | (Eins und zwei und drei und) | (Eins und zwei und drei und) | (Eins und zwei und drei und),08eEhePCIyQy4S1HO9pT66
Keiner hat gesagt,LYZA,1,fünfzehn,,"Ich wär gern wieder fünfzehn, alles schien so klar | Will einfach wieder fünfzehn, verliebt ohne Plan | Ich will wieder wie mit fünfzehn leben in den Tag | Ich wär gern nochmal fünfzehn, alles schien so klar",1qqrD7OQGMFQysnco7ilWj
Pfeil und Bogen,Mathea,1,zwei,,"Und dass am Ende von all dem immer wir zwei sind | Und dass am Ende von all dem immer wir zwei sind | Und dass am Ende von all dem immer wir zwei sind | Und dass am Ende von all dem immer wir zwei sind | Vielleicht ist das so, wenn man zwei schnelle Leben lebt | Und dass am Ende von all dem immer wir zwei sind | Und dass am Ende von all dem immer wir zwei sind",3hxKz56t0LmiRhrWSO3sVg
Wir feiern,Stereoact,1,zwei,eins,"Wir sind eins, wir sind zwei, wir sind WIR | Lass mich zwei Tropfen zu einem vereinen | Ein echtes Abenteuer für uns zwei | Wir sind eins, wir sind zwei, wir sind WIR | Wir sind eins, wir sind zwei, wir sind WIR",1eIHxFmJIabkL0OOGokJBV
Elefantastisch,Basti Stein,1,zehn,"zwei, drei","Langsam werd' ich erwachsen, ich wär gern wieder zehn | Langsam werd' ich erwachsen, ich wär gern wieder zehn | Langsam werd’ ich erwachsen, ich wär gern wieder zehn | Langsam werd' ich erwachsen, ich wär gern wieder zehn",0VwQrqWfGbuUjSjTaWB7Ac
Kapitel 1,Charlien,1,zwei,"eins, drei, vier, fünf, sechs, sieben","Kapitel zwei, dann küsst du mich | Kapitel zwei, dann küsst du mich | Ich wünsch' mir ein Happy End für uns zwei | Oh, zwei | Oh, oh, zwei | Kapitel zwei, dann küsst du mich",76xA8qKDbcPtUuxdHgg06y
4 akkorde,Ella Stern,1,vier,,"Es sind nur vier Akkorde | Es sind nur vier Akkorde | Es sind nur vier Akkorde | Da-da-da-da, es sind nur vier Akkorde | Da-da-da-da-da, da-da-da (Es sind nur vier Akkorde) | Da-da-da-da, es sind nur vier Akkorde",6TzlxYCPjUAs0f2dbgWAiy
1000 zu 1,Lemo,1,zwei,dreizehn,"Wir zwei, wir zwei, Tausend zu Eins | Wir zwei, wir zwei, Tausend zu Eins | Wir zwei, wir zwei, Tausend zu Eins | Wir zwei, wir zwei, Tausend zu Eins | Wir zwei, ihr zwei, Tausend zu Eins",2Y2U03aYcbnNZsY1C4kWT7
