name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Kleiner Junge viel Herz,Rowli,1,scheiße,arsch,"Manchmal gibt es Tage, Alter, die sind einfach scheiße | Und geht's mir scheiße, dann wird sich einfach im Zimmer versteckt",6eD8lAbNHFfhuuNapSWagn
Diese Tage feat Dante Thomas,Kris,1,scheiße,,"Egal wie scheiße es war | Egal, wie scheiße es war",10FLRAFBUypdI3i2mxiUwr
Fliederfarbensommer,Kira,1,verdammt,,Alles macht verdammt Sinn,2FsGIFf4RZYT5h2Kvzk3dR
reich,JEREMIAS,1,verdammt,,"Und wir sitzen schon wieder hier, verdammt, wie kann das sein? | Ja, verdammt, wie kann das sein?",0H8JA19H6FVUyCbP8ZNdlU
Venedig,Shindy,1,ficken,arsch,"Und trägt ihren Schmuck, wenn wir ficken – Schweißperl'n | Wir ficken in Venedig, willkomm'n im Paradies | Aber ich und meine italienische Bitch, wir ficken in Venedig | Panorama-Blick auf Venedig, wenn wir ficken auf dem Fenstersims",5gr8txrWi5JFLDoxzVZxLE
LDNB,AK AUSSERKONTROLLE,1,ficken,,"Ich lass' dich ficken (Ja, ja, ja, ja) | Mit mir ficken ist ein tragischer Fehler",5O8HYf2CdbUJIQdd6PzAA7
Der Boxer,Karat,1,verdammt,,"(Schon wieder viel zu viel, ey, verdammt bin ich blau) | Schon wieder viel zu viel, ey, verdammt bin ich blau",5d58QOjwJDlJ2a8XkOg969
Hier mit dir,Wincent Weiss,1,verdammt,,"Weil's so verdammt leicht ist, wenn du dabei bist",3fqmx4fMxm2GPCrYe1TPOB
Omnipräsent,Longus Mongus,1,verdammt,,"Mir ist so verdammt kalt, ohne dich wird mir nicht warm",6ueEw27MgqwSwN5rFbhDdy
AUF ERNST,Ski Aggu,1,scheiße,,Ich find' alles scheiße von mir (Scheiße),79uD0PzuOQ69Z0u0qJmeiH
EIER LEGEN,Ikkimel,1,ficken,"verdammt, arsch, hure","So what? Einmal ficken, weitergeben | So what? Einmal ficken, weitergeben (Ah, ah, ah)",7EGnjqxm47d1Nb0uvq6FY9
