name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Et prometo,Ivan Herzog,1,mai,"abril, setmana, dia, nit, avui, sempre","I mai més estarem sols | Et prometo un vint-i-tres d'abril on mai t'hi faltin roses | I mai més estarem sols | I mai més estarem sols (vola-volarem, vola-volarem)",5l1IMQfU4XlRKq2mXPXreJ
Camila,The Tyets,2,"sempre, mai","dimecres, dia, hora, matí, nit, demà","Arriba sempre amb molta pressa | Que la Camila sempre anava loca | Que la Camila sempre anava loca | Que la Camila sempre anava loca | Que no tinc pasta, però jo mai li fallo als meus socis” | Quan ella hi és, mai no se sap | (Mai, mai, mai, mai…)",7Cm5tjS184tqmc2IcoRpvY
CENT PER CENT,Julieta,1,sempre,"matinada, nit, mai","Perquè jo sempre ho sento al cent per cent | Jo sempre ho sento al cent per cent | Jo sempre ho sento al cent per cent, al cent per cent | Pеrquè jo sempre estimo al cent per cent | Perquè jo sempre ho sento al cent per cent",4DN7qIOgFue3K9mH6sJs6Y
La Roda,Ouineta,2,"nit, avui",,Si avui tens temps aquesta nit treu-me la roba | Si avui tens temps aquesta nit treu-me la roba | Si avui tens temps aquesta nit treu-me la roba | Si avui tens temps aquesta nit treu-me la roba | Si avui tens temps aquesta nit treu-me la roba | Si avui tens temps aquesta nit treu-me la roba | Si avui tens temps aquesta nit treu-me la roba | Si avui tens temps aquesta nit treu-me la roba,2KL8XmoRxDBrQdyfu39Rzj
La Gent Que Estimo,Oques Grasses,2,"ahir, sempre",nit,,2aTvlIMGoo2L9x5YzJNjj5
Tàndem,The Tyets,1,mai,"avui, sempre",Potser més que mai | Que no acabi mai | Potser més que mai | Que no acabi mai | Que no acabi mai | Potser més que mai | Que no acabi mai | Potser més que mai | Que no acabi mai | Potser més que mai | Que no acabi mai,0dMUu2aq0c7H1Axfo41bHZ
Si ho deixéssim tot,The Tyets,1,dia,,Agaféssim un dia i ens pirem pel món | Agaféssim un dia i ens pirem pel món | Agaféssim un dia i ens pirem pel món | Agaféssim un dia i ens pirem pel món,2TzGyJSmcxF3qHRmstH5tJ
Moblido doblidarte,Julieta,1,sempre,"primavera, mes","Però per mala sort sempre m'oblido d'oblidar-te | Però per bona sort sempre m'oblidaré d'oblidar-te | Però per mala sort sempre m'oblido d'oblidar-te | Però per bona sort sempre m'oblidaré d'oblidar-te | Dèiem si això no és per sempre | Doncs ja res no és per sempre | No durarà per sempre | I doncs res serà per sempre, no",3mkhUu2vyKNeEZpcAvPl2J
Testiu,Alfred García,2,"estiu, hivern","hora, matí, nit","Records d'aquell hivern, quan vas marxar al matí | Només l'estiu cura un hivern | Records d'aquell hivern, quan vas marxar al matí | Records d'aquell hivern, quan vas marxar al matí",6lgMnEEcSsptqmPEuU6vrw
Mon Cheri Go Home,Maria Jaume,1,avui,any,"Avui, avui, avui, avui, avui | Avui, avui, avui, avui, avui | Avui, avui, avui, avui, avui | Avui, avui, avui, avui, avui",0340Kvl35SM3t1Hg0ReBj4
Louisiana o els camps de cotó,Els Amics De Les Arts,1,dia,"nit, sempre, mai","I diu que un dia, de passada | Diu que un dia hi hem d'anar, que l'avisem amb temps, però que té llits de sobres | Diu que un dia hi hem d'anar, que l'avisem amb temps, però que té llits de sobres | Diu que un dia hi hem d'anar, que l'avisem amb temps, però que té llits de sobres | Diu que un dia hi hem d'anar, que l'avisem amb temps, però que té llits de sobres",41o2G4FL2oQIQTKaOGYp6Z
Jenifer,Els Catarres,1,sempre,,"Jo que penso que en Serrat sempre ha estat un traïdor, al meu cotxe només sona Lluïs Llach | Jo que sempre he defensat els productes de la terra | Jo que sempre m'he enganxat als serials de TV3 i als matins d'en Cuní | Jo que sempre he defensat els productes de la terra",2MeWCYKsmvPt8HSYVYVEUJ
Vaya Liada,Mushkaa,1,mai,any,"Jo no fallo mai, mai, mai, mai (Mai, mai)",2OL5S46cBDRfkz2O7SYFUF
Dins del meu cap,Miki Núñez,2,"nit, mai",,Aquesta nit | Quina nit que hem passat | Aquesta nit | Aquesta nit | Aquesta nit | O ja mai més | O ja mai més | O ja mai més | O ja mai més,5AxKeSyenbb6lH0xYF5kjk
COR PETIT,Pol Bordas,1,nit,avui,Perdonem-nos aquesta nit | Perdonem-nos aquesta nit | Perdonem-nos aquesta nit | Perdonem-nos aquesta nit | Perdonem-nos aquesta nit,4YxdZlP0WP4QXgUqqApvBo
